tx_id,order_id,customer_id,merchant_id,amount,category,status,device_id,device_age_days,LoginAttempts,CustomerAge,AccountBalance,TransactionDuration,created_at,hour,dayofweek,local_time,is_fraud
84,TX000085,AC00140,M030,154.71,digital_goods,Debit,D000494,30.0,1,34,1523.72,157,1688402,16,0,15727,0
85,TX000086,AC00098,M012,1340.19,digital_goods,Credit,D000574,30.0,1,54,8654.28,30,1696008,17,4,23333,0
86,TX000087,AC00303,M033,24.56,travel,Debit,D000428,30.0,1,64,9869.93,69,1697822,17,4,25147,0
87,TX000088,AC00373,M054,568.07,electronics,Debit,D000018,30.0,1,48,10556.81,115,1693242,17,0,20567,0
88,TX000089,AC00438,M043,9.61,digital_goods,Credit,D000453,30.0,1,58,12883.91,179,1687459,18,3,14784,0
89,TX000090,AC00437,M022,392.96,digital_goods,Debit,D000141,30.0,1,24,791.65,100,1700497,16,0,27822,0
90,TX000091,AC00106,M052,716.93,digital_goods,Credit,D000322,30.0,1,60,4064.02,34,1694710,16,3,22035,0
91,TX000092,AC00310,M009,223.85,electronics,Debit,D000481,30.0,4,53,2929.91,55,1696264,16,0,23589,0
92,TX000093,AC00149,M049,230.66,travel,Debit,D000526,30.0,1,21,618.05,135,1679940,18,0,7265,0
93,TX000094,AC00373,M047,442.12,digital_goods,Debit,D000645,30.0,1,19,1375.8,260,1703176,16,3,30501,0
94,TX000095,AC00425,M093,644.17,electronics,Debit,D000178,30.0,1,29,1143.52,72,1677773,16,3,5098,0
95,TX000096,AC00010,M048,508.68,travel,Credit,D000622,30.0,1,51,7708.41,127,1687796,16,0,15121,0
96,TX000097,AC00348,M002,858.63,travel,Credit,D000019,30.0,1,27,1872.96,185,1681838,17,1,9163,0
97,TX000098,AC00011,M007,25.36,electronics,Debit,D000192,30.0,1,57,201.04,78,1689613,17,0,16938,0
98,TX000099,AC00453,M028,147.62,travel,Debit,D000093,30.0,1,71,2115.8,133,1693589,17,4,20914,0
99,TX000100,AC00178,M004,115.02,travel,Debit,D000528,30.0,1,37,7643.66,175,1694449,16,0,21774,0
100,TX000101,AC00265,M066,383.37,travel,Debit,D000321,30.0,1,30,8901.93,24,1674581,17,1,1906,0
101,TX000102,AC00018,M095,98.54,digital_goods,Credit,D000528,30.0,1,20,9383.43,167,1691770,16,4,19095,0
102,TX000103,AC00075,M009,83.24,travel,Credit,D000607,30.0,1,55,1181.31,164,1697481,18,0,24806,0
103,TX000104,AC00464,M099,196.16,travel,Debit,D000164,30.0,1,27,9418.86,146,1677256,16,4,4581,0
104,TX000105,AC00170,M045,129.94,electronics,Debit,D000647,30.0,1,32,7954.92,235,1672677,16,0,2,0
105,TX000106,AC00235,M047,306.9,digital_goods,Debit,D000078,30.0,1,46,9418.08,51,1701361,16,3,28686,0
106,TX000107,AC00013,M032,114.98,digital_goods,Debit,D000182,30.0,1,59,6144.68,80,1698857,16,2,26182,0
107,TX000108,AC00397,M012,756.59,travel,Debit,D000028,30.0,1,27,420.65,17,1678121,16,0,5446,1
108,TX000109,AC00423,M083,503.76,digital_goods,Debit,D000518,30.0,1,22,447.82,35,1701109,18,0,28434,0
109,TX000110,AC00154,M055,143.03,electronics,Debit,D000469,30.0,1,63,7981.45,147,1690821,16,0,18146,0
110,TX000111,AC00068,M077,1045.22,electronics,Debit,D000400,30.0,1,53,1829.9,73,1700669,16,2,27994,0
111,TX000112,AC00318,M089,245.54,electronics,Debit,D000536,30.0,1,25,985.06,180,1679416,16,1,6741,0
112,TX000113,AC00396,M012,254.37,digital_goods,Credit,D000477,30.0,1,51,8849.26,174,1682015,18,3,9340,0
113,TX000114,AC00121,M009,213.76,electronics,Credit,D000574,30.0,1,78,3528.72,282,1677693,17,2,5018,0
114,TX000115,AC00336,M051,327.86,digital_goods,Debit,D000655,30.0,1,40,480.16,104,1676047,16,4,3372,0
115,TX000116,AC00468,M042,2.5,digital_goods,Debit,D000673,30.0,1,47,12145.27,107,1689957,16,4,17282,0
116,TX000117,AC00282,M040,300.08,digital_goods,Credit,D000266,30.0,1,68,13546.75,47,1696870,17,0,24195,0
117,TX000118,AC00498,M086,56.98,electronics,Credit,D000256,30.0,2,43,5688.37,122,1704126,16,0,31451,0
118,TX000119,AC00085,M041,407.65,digital_goods,Debit,D000544,30.0,1,26,8346.64,62,1688746,16,4,16071,0
119,TX000120,AC00092,M086,115.83,travel,Debit,D000663,30.0,1,39,6481.04,167,1684775,17,0,12100,0
120,TX000121,AC00295,M025,53.57,electronics,Debit,D000489,30.0,1,69,1651.33,121,1692202,16,2,19527,0
121,TX000122,AC00358,M028,63.34,digital_goods,Credit,D000434,30.0,1,46,11174.94,165,1700236,16,4,27561,0
122,TX000123,AC00311,M076,317.87,digital_goods,Debit,D000314,30.0,1,27,145.5,91,1684776,17,0,12101,0
123,TX000124,AC00066,M006,331.65,digital_goods,Debit,D000037,30.0,1,41,4172.57,61,1692984,17,4,20309,0
124,TX000125,AC00340,M001,5.04,electronics,Debit,D000021,30.0,1,56,5558.36,41,1701103,16,0,28428,0
125,TX000126,AC00284,M026,214.54,digital_goods,Credit,D000112,30.0,1,70,11151.53,247,1691171,17,4,18496,0
126,TX000127,AC00208,M081,598.81,travel,Debit,D000042,30.0,1,57,1415.52,158,1693846,16,0,21171,0
127,TX000128,AC00176,M083,841.28,digital_goods,Debit,D000276,30.0,1,26,1103.64,80,1691602,17,2,18927,0
128,TX000129,AC00053,M005,38.15,digital_goods,Debit,D000687,30.0,1,26,303.68,108,1694102,16,3,21427,0
129,TX000130,AC00320,M062,1036.66,travel,Debit,D000015,30.0,1,58,5541.57,144,1689093,16,1,16418,0
130,TX000131,AC00382,M004,124.72,travel,Debit,D000118,30.0,1,33,6309.8,105,1688404,17,0,15729,0
131,TX000132,AC00384,M059,302.45,travel,Credit,D000052,30.0,1,78,5133.61,40,1695662,17,0,22987,0
132,TX000133,AC00203,M055,208.04,digital_goods,Debit,D000339,30.0,1,47,9344.98,273,1700500,17,0,27825,0
133,TX000134,AC00498,M098,5.77,travel,Credit,D000236,30.0,1,23,1117.97,254,1700242,17,4,27567,0
134,TX000135,AC00349,M034,381.33,electronics,Debit,D000635,30.0,1,56,11835.35,75,1692636,16,0,19961,0
135,TX000136,AC00177,M065,16.16,electronics,Debit,D000465,30.0,1,50,14401.17,124,1697475,16,0,24800,0
136,TX000137,AC00284,M060,486.08,digital_goods,Debit,D000170,30.0,1,18,1748.69,68,1687281,17,1,14606,0
137,TX000138,AC00272,M003,336.39,travel,Debit,D000426,30.0,1,21,1000.46,18,1673888,16,0,1213,0
138,TX000139,AC00405,M067,997.43,digital_goods,Debit,D000661,30.0,1,69,6810.05,118,1700669,16,2,27994,0
139,TX000140,AC00385,M045,234.57,digital_goods,Debit,D000553,30.0,1,23,263.98,120,1693584,16,4,20909,0
140,TX000141,AC00403,M090,6.0,digital_goods,Debit,D000556,30.0,1,30,5442.76,246,1698086,18,0,25411,0
141,TX000142,AC00114,M052,1049.92,electronics,Debit,D000522,30.0,1,80,2037.85,21,1698079,16,0,25404,0
142,TX000143,AC00163,M057,227.14,electronics,Debit,D000439,30.0,1,18,341.94,294,1688406,17,0,15731,0
143,TX000144,AC00108,M030,233.74,digital_goods,Credit,D000600,30.0,1,66,1066.59,17,1698165,16,1,25490,0
144,TX000145,AC00397,M019,113.02,travel,Credit,D000369,30.0,1,69,6077.96,166,1695660,16,0,22985,0
145,TX000146,AC00434,M085,45.85,electronics,Debit,D000241,30.0,1,20,1659.15,92,1676570,17,3,3895,0
146,TX000147,AC00385,M026,973.39,travel,Debit,D000292,30.0,1,77,2042.22,296,1693416,17,2,20741,0
147,TX000148,AC00161,M056,514.95,digital_goods,Debit,D000109,30.0,5,41,421.93,142,1681411,18,3,8736,1
148,TX000149,AC00333,M077,415.5,electronics,Debit,D000330,30.0,1,66,10113.66,141,1690561,16,4,17886,0
149,TX000150,AC00279,M049,265.76,digital_goods,Debit,D000158,30.0,1,54,4446.17,92,1675705,17,0,3030,0
150,TX000151,AC00072,M073,69.4,digital_goods,Debit,D000413,30.0,1,80,6452.77,113,1690222,18,0,17547,0
151,TX000152,AC00242,M039,332.93,travel,Credit,D000548,30.0,1,35,2788.2,293,1700497,16,0,27822,0
152,TX000153,AC00303,M078,267.9,digital_goods,Debit,D000605,30.0,1,20,596.16,160,1696870,16,0,24195,0
153,TX000154,AC00442,M009,496.03,travel,Debit,D000070,30.0,1,61,12904.66,265,1699029,16,4,26354,0
154,TX000155,AC00087,M081,376.26,electronics,Debit,D000481,30.0,1,37,9062.4,245,1676479,16,2,3804,0
155,TX000156,AC00174,M058,83.02,digital_goods,Credit,D000226,30.0,1,36,9009.56,171,1693850,17,0,21175,0
156,TX000157,AC00421,M092,93.26,digital_goods,Credit,D000436,30.0,1,20,1152.2,72,1690474,16,3,17799,0
157,TX000158,AC00111,M030,803.37,travel,Credit,D000108,30.0,1,68,12168.37,129,1681747,16,0,9072,0
158,TX000159,AC00275,M057,35.76,travel,Debit,D000678,30.0,1,23,611.86,122,1695145,17,1,22470,0
159,TX000160,AC00492,M035,28.53,digital_goods,Debit,D000310,30.0,1,62,8670.53,99,1685551,16,2,12876,0
160,TX000161,AC00380,M002,139.53,digital_goods,Credit,D000491,30.0,1,53,10098.86,177,1696872,17,0,24197,0
161,TX000162,AC00227,M049,307.57,travel,Debit,D000076,30.0,1,33,5307.74,285,1673280,16,0,605,0
162,TX000163,AC00257,M085,60.65,travel,Credit,D000456,30.0,1,56,1047.28,53,1685124,18,4,12449,0
163,TX000164,AC00062,M028,74.86,travel,Debit,D000115,30.0,1,70,6921.48,125,1692034,17,0,19359,0
164,TX000165,AC00383,M100,117.97,travel,Debit,D000281,30.0,1,51,1475.46,137,1700851,18,4,28176,0
165,TX000166,AC00182,M044,231.91,electronics,Debit,D000371,30.0,1,34,112.76,165,1675189,18,1,2514,0
166,TX000167,AC00478,M001,126.21,travel,Debit,D000001,30.0,1,75,5669.66,268,1676390,16,1,3715,0
167,TX000168,AC00332,M010,506.28,digital_goods,Credit,D000606,30.0,2,53,1309.95,162,1683047,17,1,10372,0
168,TX000169,AC00202,M007,304.35,travel,Debit,D000281,30.0,1,31,4057.1,36,1701709,17,0,29034,0
169,TX000170,AC00331,M013,281.85,electronics,Debit,D000148,30.0,1,22,1585.98,109,1684257,17,1,11582,0
170,TX000171,AC00474,M018,777.88,travel,Debit,D000436,30.0,1,31,6825.55,17,1679331,16,0,6656,0
171,TX000172,AC00268,M093,119.18,travel,Debit,D000309,30.0,1,56,5516.5,96,1692986,18,4,20311,0
172,TX000173,AC00247,M088,177.19,digital_goods,Debit,D000666,30.0,1,76,5343.3,43,1684171,17,0,11496,0
173,TX000174,AC00298,M094,260.88,travel,Debit,D000327,30.0,1,22,903.05,36,1685379,16,0,12704,0
174,TX000175,AC00106,M046,169.47,digital_goods,Debit,D000061,30.0,1,24,1806.16,19,1679501,16,2,6826,0
175,TX000176,AC00035,M022,73.23,travel,Debit,D000059,30.0,1,26,787.74,14,1684515,16,4,11840,0
176,TX000177,AC00363,M001,1362.55,electronics,Debit,D000213,30.0,1,29,2429.68,106,1676052,18,4,3377,0
177,TX000178,AC00273,M059,792.57,electronics,Debit,D000424,30.0,1,19,770.37,164,1684772,16,0,12097,0
178,TX000179,AC00156,M049,237.06,digital_goods,Debit,D000455,30.0,1,71,1182.77,46,1702918,16,0,30243,0
179,TX000180,AC00010,M091,34.17,digital_goods,Credit,D000036,30.0,1,54,726.55,54,1700585,16,1,27910,0
180,TX000181,AC00036,M010,740.25,digital_goods,Debit,D000030,30.0,1,41,14464.3,123,1689786,17,2,17111,0
181,TX000182,AC00149,M017,453.54,electronics,Debit,D000150,30.0,1,58,12046.3,82,1681922,16,2,9247,0
182,TX000183,AC00225,M065,300.47,travel,Debit,D000272,30.0,1,73,7885.64,100,1699891,16,0,27216,0
183,TX000184,AC00077,M036,110.93,travel,Credit,D000142,30.0,1,19,1952.35,201,1680885,16,4,8210,0
184,TX000185,AC00440,M019,201.69,electronics,Debit,D000626,30.0,1,59,7328.52,299,1672764,16,1,89,0
185,TX000186,AC00321,M062,399.21,electronics,Debit,D000301,30.0,1,59,3210.39,109,1675095,16,0,2420,0
186,TX000187,AC00099,M032,1041.88,digital_goods,Debit,D000208,30.0,1,78,5726.2,57,1694018,16,2,21343,0
187,TX000188,AC00258,M084,630.36,electronics,Debit,D000091,30.0,1,62,1363.65,52,1677773,16,3,5098,0
188,TX000189,AC00132,M083,10.94,electronics,Credit,D000503,30.0,1,60,1241.99,245,1698081,17,0,25406,0
189,TX000190,AC00113,M083,215.9,electronics,Debit,D000414,30.0,1,38,7873.28,235,1672848,16,2,173,0
190,TX000191,AC00396,M072,1422.55,travel,Debit,D000569,30.0,1,79,5674.32,165,1689011,17,0,16336,0
191,TX000192,AC00099,M041,226.37,travel,Credit,D000631,30.0,1,49,9840.04,141,1695056,17,0,22381,0
192,TX000193,AC00265,M060,444.89,travel,Credit,D000173,30.0,1,43,10328.23,101,1694449,16,0,21774,0
193,TX000194,AC00047,M017,280.57,digital_goods,Credit,D000538,30.0,1,25,293.24,24,1674840,17,4,2165,1
194,TX000195,AC00005,M036,488.54,travel,Debit,D000466,30.0,1,52,7486.63,132,1688406,17,0,15731,0
195,TX000196,AC00363,M085,3.3,travel,Credit,D000215,30.0,1,50,11385.37,131,1679935,16,0,7260,0
196,TX000197,AC00426,M023,199.39,travel,Debit,D000304,30.0,1,69,7264.79,165,1692634,16,0,19959,0
197,TX000198,AC00107,M069,20.36,travel,Debit,D000082,30.0,1,62,2762.48,75,1690218,17,0,17543,0
198,TX000199,AC00237,M038,113.64,digital_goods,Debit,D000022,30.0,1,62,6675.03,32,1698167,17,1,25492,0
199,TX000200,AC00358,M022,493.11,travel,Debit,D000232,30.0,1,53,7432.99,236,1690820,16,0,18145,0
200,TX000201,AC00113,M007,307.41,electronics,Debit,D000014,30.0,1,19,1057.0,14,1686591,17,0,13916,0
201,TX000202,AC00010,M017,11.18,digital_goods,Debit,D000129,30.0,1,43,5956.89,161,1701363,16,3,28688,0
202,TX000203,AC00499,M097,313.82,travel,Debit,D000357,30.0,1,59,7261.59,151,1700074,18,2,27399,0
203,TX000204,AC00380,M063,51.0,travel,Debit,D000199,30.0,1,64,4943.16,107,1675094,16,0,2419,0
204,TX000205,AC00452,M059,140.98,travel,Debit,D000374,30.0,1,60,8127.48,100,1685032,16,3,12357,0
205,TX000206,AC00020,M092,288.04,electronics,Debit,D000582,30.0,1,68,1748.02,63,1692895,16,3,20220,0
206,TX000207,AC00181,M062,800.55,electronics,Debit,D000657,30.0,1,31,9660.22,108,1683217,16,3,10542,0
207,TX000208,AC00370,M061,485.54,electronics,Debit,D000589,30.0,1,46,6371.51,143,1675705,17,0,3030,0
208,TX000209,AC00453,M084,521.15,electronics,Debit,D000108,30.0,1,54,9442.47,214,1676657,18,4,3982,0
209,TX000210,AC00339,M056,321.79,electronics,Credit,D000537,30.0,1,63,5959.2,61,1691429,17,0,18754,0
210,TX000211,AC00249,M098,304.93,electronics,Debit,D000700,30.0,1,65,13531.22,158,1677255,16,4,4580,0
211,TX000212,AC00479,M044,432.08,electronics,Debit,D000073,30.0,1,40,11500.62,145,1690819,16,0,18144,0
212,TX000213,AC00301,M035,694.2,electronics,Debit,D000007,30.0,1,61,1389.37,72,1701966,16,3,29291,0
213,TX000214,AC00380,M088,116.86,electronics,Debit,D000531,30.0,1,55,6706.56,171,1679336,18,0,6661,0
214,TX000215,AC00130,M039,386.81,digital_goods,Credit,D000248,30.0,1,57,7175.29,149,1677866,18,4,5191,0
215,TX000216,AC00006,M026,74.88,electronics,Debit,D000139,30.0,1,25,420.67,202,1684945,16,2,12270,0
216,TX000217,AC00096,M056,195.76,travel,Debit,D000517,30.0,1,75,7323.53,99,1684772,16,0,12097,0
217,TX000218,AC00108,M074,134.7,electronics,Debit,D000637,30.0,1,50,8395.85,106,1692633,16,0,19958,0
218,TX000219,AC00070,M029,890.24,digital_goods,Credit,D000223,30.0,1,33,5140.93,161,1688753,18,4,16078,0
219,TX000220,AC00417,M088,361.27,electronics,Debit,D000676,30.0,1,63,7945.57,180,1673024,17,4,349,0
220,TX000221,AC00391,M014,131.56,travel,Debit,D000203,30.0,1,44,5873.54,42,1697733,16,3,25058,0
221,TX000222,AC00414,M097,485.51,digital_goods,Credit,D000460,30.0,1,76,3074.45,37,1701190,16,1,28515,0
222,TX000223,AC00004,M064,547.87,electronics,Debit,D000183,30.0,1,64,6155.76,131,1689009,17,0,16334,0
223,TX000224,AC00047,M042,457.3,digital_goods,Debit,D000214,30.0,1,28,8318.29,15,1687803,18,0,15128,0
224,TX000225,AC00198,M077,506.24,electronics,Debit,D000315,30.0,1,58,230.09,64,1673628,16,4,953,0
225,TX000226,AC00314,M017,486.59,travel,Debit,D000029,30.0,1,57,2513.56,119,1703004,16,1,30329,0
226,TX000227,AC00212,M087,163.68,travel,Debit,D000440,30.0,1,41,10090.05,292,1695918,16,3,23243,0
227,TX000228,AC00115,M009,581.65,electronics,Debit,D000666,30.0,1,22,480.19,176,1673283,16,0,608,0
228,TX000229,AC00055,M019,52.01,electronics,Debit,D000652,30.0,1,48,1120.88,85,1699375,16,1,26700,0
229,TX000230,AC00427,M054,630.24,electronics,Debit,D000548,30.0,1,21,370.81,62,1701281,18,2,28606,0
230,TX000231,AC00401,M099,523.74,electronics,Debit,D000551,30.0,1,43,13498.55,159,1698942,16,3,26267,0
231,TX000232,AC00430,M071,705.6,travel,Debit,D000103,30.0,3,40,14804.7,124,1676918,18,0,4243,0
232,TX000233,AC00299,M043,217.5,travel,Credit,D000485,30.0,1,46,3057.4,35,1698087,18,0,25412,0
